similarity,topK,shrink,normalize,time,cutoff,PRECISION,PRECISION_RECALL_MIN_DEN,RECALL,MAP,MAP_MIN_DEN,MRR,NDCG,F1,HIT_RATE,ARHR_ALL_HITS,NOVELTY,AVERAGE_POPULARITY,DIVERSITY_MEAN_INTER_LIST,DIVERSITY_HERFINDAHL,COVERAGE_ITEM,COVERAGE_ITEM_HIT,ITEMS_IN_GT,COVERAGE_USER,COVERAGE_USER_HIT,USERS_IN_GT,DIVERSITY_GINI,SHANNON_ENTROPY,RATIO_DIVERSITY_HERFINDAHL,RATIO_DIVERSITY_GINI,RATIO_SHANNON_ENTROPY,RATIO_AVERAGE_POPULARITY,RATIO_NOVELTY
cosine,5,0,True,2024-12-04 23:37:27,10,0.09640457650463426,0.14456079361063148,0.12292706106628841,0.05091123149847265,0.07456181513857228,0.27049828008490767,0.14058476044993343,0.10806221477485498,0.5169651139909482,0.36460653902394813,0.003887386095564954,0.0684845439033006,0.9987323443129912,0.9998704268800793,0.7443141575509562,0.3050287243251751,0.9955929802471079,0.9954387732258787,0.5146071188717259,0.9954387732258787,0.30040971573076697,13.811116218566895,0.999928302343793,0.4937363282649706,0.9356067459833498,0.925499433705765,0.2541290763746482
cosine,5,0,False,2024-12-04 23:37:44,10,0.06785202260140086,0.10370515760347598,0.08950498036174695,0.03363353983915828,0.05046905661530658,0.2049922493383792,0.10032175668528923,0.07718873435668422,0.4186883310375847,0.2592776245047664,0.003480395234019651,0.18566363056059368,0.990728680537187,0.9990700830239803,0.4624222869284646,0.16180058235618164,0.9955929802471079,0.9954387732258787,0.41677859861204386,0.9954387732258787,0.09260454010859467,11.735116958618164,0.9991279121614195,0.1521995568707268,0.7949722830242062,2.5090564257273886,0.22752296903289754
cosine,5,5,True,2024-12-04 23:37:59,10,0.09698366738816926,0.14525432611410413,0.12351645064370768,0.05123910077153919,0.07487536385740984,0.2721261755951021,0.14131526921409052,0.1086537138675345,0.5210412391420459,0.36702111330201415,0.0038471840700469813,0.07506903978806857,0.9985251042080076,0.9998497034393949,0.7193410456179009,0.2967393300280685,0.9955929802471079,0.9954387732258787,0.5186646518916499,0.9954387732258787,0.27399947685515436,13.664478302001953,0.9999075777035744,0.4503299612660677,0.925673050416393,1.0144822445016621,0.2515009598557029
cosine,5,0,True,2024-12-04 23:42:02,10,0.09640457650463426,0.14456079361063148,0.12292706106628841,0.05091123149847265,0.07456181513857228,0.27049828008490767,0.14058476044993343,0.10806221477485498,0.5169651139909482,0.36460653902394813,0.003887386095564954,0.0684845439033006,0.9987323443129912,0.9998704268800793,0.7443141575509562,0.3050287243251751,0.9955929802471079,0.9954387732258787,0.5146071188717259,0.9954387732258787,0.30040971573076697,13.811116218566895,0.999928302343793,0.4937363282649706,0.9356067459833498,0.925499433705765,0.2541290763746482
cosine,5,0,False,2024-12-04 23:42:18,10,0.06785202260140086,0.10370515760347598,0.08950498036174695,0.03363353983915828,0.05046905661530658,0.2049922493383792,0.10032175668528923,0.07718873435668422,0.4186883310375847,0.2592776245047664,0.003480395234019651,0.18566363056059368,0.990728680537187,0.9990700830239803,0.4624222869284646,0.16180058235618164,0.9955929802471079,0.9954387732258787,0.41677859861204386,0.9954387732258787,0.09260454010859467,11.735116958618164,0.9991279121614195,0.1521995568707268,0.7949722830242062,2.5090564257273886,0.22752296903289754
cosine,5,5,True,2024-12-04 23:42:35,10,0.09698366738816926,0.14525432611410413,0.12351645064370768,0.05123910077153919,0.07487536385740984,0.2721261755951021,0.14131526921409052,0.1086537138675345,0.5210412391420459,0.36702111330201415,0.0038471840700469813,0.07506903978806857,0.9985251042080076,0.9998497034393949,0.7193410456179009,0.2967393300280685,0.9955929802471079,0.9954387732258787,0.5186646518916499,0.9954387732258787,0.27399947685515436,13.664478302001953,0.9999075777035744,0.4503299612660677,0.925673050416393,1.0144822445016621,0.2515009598557029
cosine,5,5,False,2024-12-04 23:42:52,10,0.06782953363504998,0.1036477861977505,0.08943847587943103,0.03365009644821478,0.05049140168347205,0.20516022496105357,0.10033649659198625,0.0771494485961924,0.41854777499789164,0.2594445515347638,0.003480463650054891,0.18565123150994914,0.990730527221959,0.9990702677168883,0.4624485191888985,0.16164318879357834,0.9955929802471079,0.9954387732258787,0.41663868368032236,0.9954387732258787,0.09264873875572514,11.735554695129395,0.9991280968650181,0.15227219925413105,0.7950019366181945,2.5088888650823735,0.22752744157650842
cosine,5,6,True,2024-12-04 23:43:09,10,0.09704832316642818,0.1452424346269364,0.12344816182295504,0.051332668704058115,0.07497341884849236,0.27254830107907146,0.14143240772970903,0.10866782845515667,0.5209006831023529,0.36758743143432265,0.0038403011433964063,0.076264693604088,0.9984854079138737,0.9998457339243032,0.7150914194276121,0.2954801815272422,0.9955929802471079,0.9954387732258787,0.5185247369599284,0.9954387732258787,0.2696584462278938,13.638436317443848,0.9999036079587155,0.4431952901467412,0.9239088876908197,1.0306402980793656,0.2510510040886489
cosine,5,6,False,2024-12-04 23:43:27,10,0.0677733112191728,0.10358837338287709,0.08940135155996566,0.03361889077635468,0.05045350727141428,0.20507378299664233,0.10027686351097428,0.0770992667081763,0.4184634413740758,0.2592854777946032,0.0034803992303586028,0.1856389567605648,0.990733805387729,0.9990705955424346,0.4613467642506755,0.16135463392880564,0.9955929802471079,0.9954387732258787,0.41655473472128945,0.9954387732258787,0.09249015281464122,11.734426498413086,0.9991284247095399,0.15201155641814704,0.7949255091635362,2.5087229842433314,0.2275232302845205
cosine,5,7,True,2024-12-04 23:43:45,10,0.09707362325357298,0.14525490618664902,0.12344520363221859,0.051371240181712706,0.07500720611320469,0.2724827305710305,0.14141613638819436,0.1086825407071553,0.520394681359458,0.36756106044401904,0.0038338094333129325,0.07742412077416333,0.9984469656078416,0.999841889803065,0.7115500642690381,0.2940898717242465,0.9955929802471079,0.9954387732258787,0.518021043205731,0.9954387732258787,0.26570024951871557,13.614324569702148,0.999899763614968,0.43668982308824017,0.9222754850398265,1.046308785130151,0.250626623220104
