alpha,beta,min_rating,topK,implicit,normalize_similarity,time,cutoff,PRECISION,PRECISION_RECALL_MIN_DEN,RECALL,MAP,MAP_MIN_DEN,MRR,NDCG,F1,HIT_RATE,ARHR_ALL_HITS,NOVELTY,AVERAGE_POPULARITY,DIVERSITY_MEAN_INTER_LIST,DIVERSITY_HERFINDAHL,COVERAGE_ITEM,COVERAGE_ITEM_HIT,ITEMS_IN_GT,COVERAGE_USER,COVERAGE_USER_HIT,USERS_IN_GT,DIVERSITY_GINI,SHANNON_ENTROPY,RATIO_DIVERSITY_HERFINDAHL,RATIO_DIVERSITY_GINI,RATIO_SHANNON_ENTROPY,RATIO_AVERAGE_POPULARITY,RATIO_NOVELTY
0.5,0.1,0.0,100,True,True,2024-11-25 01:21:30,10,0.0955821147356377,0.1447520287642581,0.12429700111638209,0.049232048002926375,0.07296139483946416,0.27496459147964014,0.14030947181647202,0.10806456243891238,0.5371203599550056,0.3625625591444082,0.0036296012882846692,0.1363059218217912,0.9956825007415708,0.9995654500962701,0.5336428740064532,0.24784239657931323,0.9962750190183888,0.9950749944034027,0.5344750391761809,0.9950749944034027,0.1525067721126696,12.663179397583008,0.9996232479007955,0.2507541311860784,0.8578464498825611,1.833471396055365,0.23727819806268743
0.5,0.1,0.0,100,True,True,2024-11-25 01:22:13,10,0.0955821147356377,0.1447520287642581,0.12429700111638209,0.049232048002926375,0.07296139483946416,0.27496459147964014,0.14030947181647202,0.10806456243891238,0.5371203599550056,0.3625625591444082,0.0036296012882846692,0.1363059218217912,0.9956825007415708,0.9995654500962701,0.5336428740064532,0.24784239657931323,0.9962750190183888,0.9950749944034027,0.5344750391761809,0.9950749944034027,0.1525067721126696,12.663179397583008,0.9996232479007955,0.2507541311860784,0.8578464498825611,1.833471396055365,0.23727819806268743
0.5,0.1,0.0,100,True,False,2024-11-25 01:22:36,10,0.08342238470189424,0.12746667827235425,0.10993315188325357,0.04234320821504286,0.06360353103272115,0.24989309372042712,0.12408666731091164,0.09486033707504386,0.497103487064117,0.32107189726285296,0.003510131346166721,0.19128817329185338,0.9888960048685385,0.9988868195796385,0.4537394087248498,0.2012801343091734,0.9962750190183888,0.9950749944034027,0.4946552496082382,0.9950749944034027,0.09925572221537991,11.774133682250977,0.9989445781437581,0.16319788324532167,0.7976194968610748,2.5730459061993978,0.22946808054925738
0.5,0.1,0.0,100,False,True,2024-11-25 01:22:59,10,0.0955821147356377,0.1447520287642581,0.12429700111638209,0.049232048002926375,0.07296139483946416,0.27496459147964014,0.14030947181647202,0.10806456243891238,0.5371203599550056,0.3625625591444082,0.0036296012882846692,0.1363059218217912,0.9956825007415708,0.9995654500962701,0.5336428740064532,0.24784239657931323,0.9962750190183888,0.9950749944034027,0.5344750391761809,0.9950749944034027,0.1525067721126696,12.663179397583008,0.9996232479007955,0.2507541311860784,0.8578464498825611,1.833471396055365,0.23727819806268743
0.5,0.1,0.0,100,False,False,2024-11-25 01:23:22,10,0.08342238470189424,0.12746667827235425,0.10993315188325357,0.04234320821504286,0.06360353103272115,0.24989309372042712,0.12408666731091164,0.09486033707504386,0.497103487064117,0.32107189726285296,0.003510131346166721,0.19128817329185338,0.9888960048685385,0.9988868195796385,0.4537394087248498,0.2012801343091734,0.9962750190183888,0.9950749944034027,0.4946552496082382,0.9950749944034027,0.09925572221537991,11.774133682250977,0.9989445781437581,0.16319788324532167,0.7976194968610748,2.5730459061993978,0.22946808054925738
0.5,0.1,0.0,200,True,True,2024-11-25 01:23:45,10,0.08991001124857435,0.13668475592336277,0.11763018468017782,0.04544890370846324,0.06787231437694495,0.2619152181870138,0.1321645554673064,0.10191887099689753,0.5237345331833521,0.34031838654098245,0.0035631441706017856,0.16223401742232968,0.9931343827845361,0.9993106453912333,0.4803389208048057,0.2222397103958448,0.9962750190183888,0.9950749944034027,0.5211551376762928,0.9950749944034027,0.11764643487556291,12.181705474853516,0.9993684284622036,0.19343619405023504,0.8252297836918129,2.182234098382626,0.2329336919090413
0.5,0.1,0.0,200,True,False,2024-11-25 01:24:12,10,0.08044150731156866,0.1232811858339084,0.1065394338231338,0.040411199716105344,0.061111517097777804,0.2426686396343299,0.1198779838384621,0.09166915721832818,0.4887232845894263,0.30930997464603543,0.0034768033888758093,0.20577936205365094,0.9860001503861624,0.9985972422873601,0.42653655465491463,0.18937068807219118,0.9962750190183888,0.9950749944034027,0.486316319677636,0.9950749944034027,0.08542551475698558,11.49471378326416,0.9986549841072717,0.14045802974694194,0.7786906512018137,2.767969059459986,0.2272893294901197
0.5,0.1,0.0,200,False,True,2024-11-25 01:24:39,10,0.08991001124857435,0.13668475592336277,0.11763018468017782,0.04544890370846324,0.06787231437694495,0.2619152181870138,0.1321645554673064,0.10191887099689753,0.5237345331833521,0.34031838654098245,0.0035631441706017856,0.16223401742232968,0.9931343827845361,0.9993106453912333,0.4803389208048057,0.2222397103958448,0.9962750190183888,0.9950749944034027,0.5211551376762928,0.9950749944034027,0.11764643487556291,12.181705474853516,0.9993684284622036,0.19343619405023504,0.8252297836918129,2.182234098382626,0.2329336919090413
0.5,0.1,0.0,200,False,False,2024-11-25 01:25:07,10,0.08044150731156866,0.1232811858339084,0.1065394338231338,0.040411199716105344,0.061111517097777804,0.2426686396343299,0.1198779838384621,0.09166915721832818,0.4887232845894263,0.30930997464603543,0.0034768033888758093,0.20577936205365094,0.9860001503861624,0.9985972422873601,0.42653655465491463,0.18937068807219118,0.9962750190183888,0.9950749944034027,0.486316319677636,0.9950749944034027,0.08542551475698558,11.49471378326416,0.9986549841072717,0.14045802974694194,0.7786906512018137,2.767969059459986,0.2272893294901197
0.5,0.1,0.0,300,True,True,2024-11-25 01:25:33,10,0.08627671541055482,0.1317454737800587,0.11375456321519294,0.0431631626403824,0.06496018108634977,0.253013451443569,0.12714078137524215,0.09812835417136483,0.5116985376827896,0.3262549993750909,0.0035274583172071245,0.17686575346815647,0.9912222594233427,0.9991194385220297,0.4497521051388998,0.20846777366805697,0.9962750190183888,0.9950749944034027,0.5091784195209312,0.9950749944034027,0.10089227165357281,11.89879322052002,0.9991772105368584,0.16588872462129645,0.8060643541114197,2.3790477742383938,0.230600797930536
